好的	OK
建立	establish
玩儿	play
好学	eager
进展	progress
减轻	lighten
衡量	weigh
是否	whether
交际	communication
熟悉	familiar
小学	elementary school
局长	bureau chief
使劲儿	exert
一块儿	together
推迟	postpone
客气	polite
另一方面	on the other hand
近视	shortsighted
端正	upright
离不开	inseparable
立场	position
堆积	pile up
小说	novel
眼镜	spectacles
下载	download
宽阔	expansive
有趣	interesting
票价	ticket price
屁股	buttocks
暖气	heater
优势	superiority
植物	plant
起码	at least
周围	surroundings
轻易	easily
人工	artificial
珍惜	treasure
竹子	bamboo
聘请	engage
姓名	full name
球员	player
测验	test
缩小	reduce
商城	shopping center
海拔	elevation
桃花	peach blossom
维持	maintain
体力	physical strength
多余	surplus
恶劣	vile
撩妹	flirt
鲜花	flower
相片	photograph
赔钱	lose money
講真	honestly
学费	tuition fee
线索	clues
相声	comic dialogue
洗衣粉	laundry detergent
迹象	indication
指示牌	sign
圆满	satisfactory
赞助	support
要素	factor
在场	present
中奖	win a prize
意想不到	unexpected
精密	precise
用品	articles
圆珠笔	ballpoint pen
远离	keep away
战友	comrade
挑水	carry water
注重	emphasize
绳子	rope
自豪	proud
至于	as for
款待	entertain
自学	self-study
连年	successive years
廉洁	incorruptible
赞美	praise
普拉提	Pilates
平面	plane
扰乱	disturb
生效	take effect
高血压	hypertension
思念	long for
伪造	forge
侮辱	insult
物美价廉	bargain
相辅相成	complement
兴隆	prosperous
验收	inspection
野心	ambition
依托	rely on
应邀	at invitation
勇于	dare to
忠诚	loyal
尊严	dignity
办理	handle
比如	for example
别人	others
表面	surface
超过	surpass
哥哥	older brother
操作	operate
出国	go abroad
出席	attend
精致	delicate
春节	Spring Festival
差别	difference
黑板	blackboard
回答	reply
承办	undertake
炒作	hype
成品	finished goods
功夫	skill
底下	below
不像话	unreasonable
哺乳	breastfeeding
不妨	might as well
教学楼	school building
裁员	cut staff
当前	present time
大街	street
语言	language
降低	reduce
返回	return to
黄色	yellow
陈述	assertion
可怜	pitiful
矿泉水	mineral water
成天	all day long
例如	for example
前边	front
筹备	preparations
赶忙	hurry
广泛	wide
密码	password
储蓄	save money
面临	face
贺卡	greeting card
胡同儿	erhua variant of 胡同
磁带	magnetic tape
股票	stock
季度	quarter
逮捕	arrest
忽略	neglect
新历	Gregorian
首先	first
会长	president
普通	common
焦点	focus
董事长	chairman
完全	complete
着迷	fascinated
粮食	foodstuff
停电	power failure
毛笔	writing brush
严格	strict
无数	countless
看好	regard as promising
样子	appearance
邀请	invite
普天同慶	rejoice together
反馈	feedback
名牌儿	brand
内在	inner
联赛	league
废除	abolish
风趣	humor
全球	global
前途	prospects
人民币	Renminbi
腐烂	rot
笑话儿	joke
皮球	ball
组成	form
二哈	silly husky
一路顺风	have a pleasant journey
诗歌	poem
有空儿	free
古怪	strange
攀岩	rock climbing
固有	intrinsic
抓马	drama
捍卫	defend
位置	position
呼唤	call out
嚴肅臉	stern-faced
误解	misunderstand
透露	reveal
眼前	at present
小偷儿	pickpocket
合影	group photo
欣赏	appreciate
往年	former years
玻璃心	overly sensitive
有的是	plenty of
文娱	cultural recreation
夹子	clip
志愿	aspiration
交叉	intersect
演奏	perform
得瑟	show off
征服	conquer
增大	enlarge
隐私	privacy
疲劳	fatigue
终身	lifelong
正当	reasonable
时差	time difference
牢骚	complaint
座谈会	conference
吊瓶	infusion
字体	font
落成	complete
猛烈	intense
描绘	describe
拟定	formulate
脊柱	spinal column
譬如	for example
品尝	taste
平庸	mediocre
起源	origin
恰到好处	just right
恰巧	by chance
内在	internal
勤劳	hardworking
流浪者	wanderer
任意	arbitrary
数额	amount
挑拨	incite disharmony
响应	respond to
效益	benefit
压制	suppress
欲望	desire
安慰	comfort
帮助	assistance
包围	surround
报考	enter for an examination
表格	form
左边	left
批判	criticize
出发	set off
大学生	university student
猜测	guess
彩色	color
餐饮	food and beverage
奔驰	run quickly
国家	country
大声	loud
倒霉	bad luck
超越	surpass
桌子	table
场景	scene
方向	direction
放弃	abandon
结婚	marry
从此	from now on
当中	among
分数	grade
房屋	house
看病	visit a doctor
单打	singles
电子版	electronic edition
侧面	lateral
抵达	arrive
集合	gather
建筑	construct
面条儿	noodles
接下来	next
崇敬	revere
马虎	careless
到时候	when
命令	order
快点儿	quickly
内科	internal medicine
家乡	hometown
自洽	logically consistent
巧克力	chocolate
奇迹	miracle
日记	diary
确认	confirm
编程	program
导向	orientation
得力	able
混合	mix
角色	role
会计	accountant
卫生间	bathroom
来源	source
漫画	cartoon
反之	conversely
行为	behavior
联手	cooperate
杂志	magazine
图片	picture
分明	clear
真正	genuine
期限	deadline
前头	in front
签订	sign
专门	specialized
造成	cause
前提	premise
人员	personnel
小声	whisper
神话	myth
告辞	goodbye
总算	finally
清洁工	cleaner
热点	hot spot
体现	embody
团结	unity
首相	prime minister
书房	study
双打	doubles
委托	entrust
車震	car sex
性质	nature
演讲	lecture
刷屏	flood
强迫症	OCD
赞赏	admire
仪器	instrument
遗憾	regret
蜜蜂	bee
君子	nobleman
开辟	open up
转让	transfer
子弹	bullet
主持人	presenter
脉搏	pulse
同性恋	homosexuality
派遣	send
批发	wholesale
偏僻	remote
充电宝	charger
起草	draft
起初	originally
请柬	invitation
请帖	invitation
偷听	eavesdrop
野外	countryside
水利	water conservancy
天伦之乐	family joy
跳跃	jump
新颖	original
噪音	noise
知足常乐	satisfied
爱情	romance
暧昧	ambiguous
半夜	midnight
非常	very
不错	pretty good
不够	insufficient
医院	hospital
草地	lawn
弟弟	younger brother
时候	time
卑鄙	despicable
医生	doctor
氪金	in-app purchase
关心	concerned
诚信	honesty
待遇	treatment
肚子	belly
抽奖	draw a prize
丰富	enrich
此前	before
大熊猫	giant panda
大于	greater than
大致	roughly
发明	invent
地位	position
合理	reasonable
动员	mobilize
基本	basic
为了	for
各种	various
借口	excuse
繁殖	breed
遇到	meet
汽车	car
注意	pay attention
联合	combine
现代	modern era
苗条	slim
年龄	age
目标	target
活力	vitality
确实	indeed
商量	consult
奖励	reward
能够	capable
监督	supervise
来信	incoming letter
体育馆	gym
宣布	announce
强大	powerful
风土人情	local customs
丰满	ample
再三	over and over
母女	mother-daughter
内衣	undergarment
星星	star
总共	altogether
前来	come
率先	take the lead
书法	calligraphy
毫无	completely lack
想象	imagine
无疑	undoubtedly
预计	forecast
笑脸	smiling face
笑容	smile
用户	user
优先	priority
循环	cycle
昆虫	insect
研发	research and development
战争	war
重大	important
魅力	charm
艺术家	artist
支配	control
支撑	support
可恶	repulsive
枯燥	dull
明智	sensible
沐浴	bathe
派别	faction
谈恋爱	courtship
不要脸	shameless
生育	bear
示意	hint
事态	situation
天生	nature
香料	spice
无忧无虑	carefree
潇洒	confident
雄厚	substantial
婴儿	infant
诈骗	swindle
钻研	study
按时	on time
爱戴	love and respect
暗示	suggest
报刊	press
参加	participate
编辑	edit
财产	property
不满	dissatisfied
出差	business trip
很迷	weird
动物	animal
保障	ensure
抽象	abstract
布满	covered with
电视	television
希望	hope
场面	scene
大衣	overcoat
成本	costs
法律	law
干什么	what are you doing?
见面	meet
复印	photocopy
处在	situated
带动	spur
懂得	understand
面包	bread
当代	contemporary
打官司	sue
低头	bow
机器	machine
豆制品	soy product
郊区	suburb
干预	intervene
音乐	music
劳动	work
公认	accepted
干涉	interfere
流传	spread
处置	handle
行业	industry
平常	ordinary
海底	seabed
强调	emphasize
剪子	scissors
随着	along with
生长	grow
举动	action
开幕	inaugurate
骑车	ride a bike
鉴定	appraise
体贴	considerate
知识	knowledge
叶子	leaf
小气	stingy
友谊	friendship
小腿	lower leg
风味	flavor
重视	value
著名	famous
洗衣机	washing machine
腐朽	rotten
情形	circumstances
夜里	nighttime
市区	downtown
一生	throughout one's life
躲猫猫	hide-and-seek
痛苦	suffering
住院	hospitalized
微笑	smile
首次	first
合伙	form a partnership
住宅区	residential area
外出	go out
好胜	eager to win
外衣	outer clothing
治愈系	uplifting
纪要	minutes
毒舌	venomous tongue
依法	legal
佳肴	fine food
见多识广	experienced
结算	settle a bill
真相	the truth
字母	letter
直线	straight line
主体	main part
可观	considerable
丝毫	the slightest
扩散	spread
走私	smuggle
祖父	paternal grandfather
祖母	paternal grandmother
兽医	veterinarian
祈祷	pray
脱口秀	talk show
平行	parallel
虚伪	false
尸体	dead body
司法	judicial
外表	external
无能为力	helpless
无辜	innocent
众所周知	widely known
转达	convey
包子	bao
老板	boss
饭店	restaurant
从前	previously
公司	company
崩溃	collapse
产业	industry
反对	oppose
贬义	derogatory
的话	if
冰雹	hail
好吃	fond of eating
多久	how long
达成	reach
不屑一顾	disdain
了解	understand
过程	process
奇怪	strange
开会	meeting
大使	ambassador
分散	scatter
工程师	engineer
各个	various
领域	domain
出神	entranced
民族	nationality
穿越	pass through
普遍	universal
是不是	whether
集团	group
巧妙	ingenious
检测	detect
失望	disappointed
急救	first aid
可乐	amusing
市场	marketplace
里面	inside
吸引	attract
救助	aid
拍摄	shoot
营养	nutrition
封锁	blockade
火星哥	Bruno Mars
腐败	corruption
清理	tidy up
改良	improve
办公楼	office building
报社	newspaper
早餐	breakfast
光彩	luster
团体	group
顏值巔峰	peak of attractiveness
天才	talent
化验	chemical examination
管子	tube
雄伟	majestic
记性	memory
运输	transportation
选举	elect
战士	fighter
笑尿	laugh
早期	early period
借助	draw support
游戏机	video game machine
证实	confirm
聚精会神	concentrate
争夺	fight over
框架	framework
立体	three-dimensional
领会	understand
隆重	grand
泡沫	foam
谦逊	humble
惹祸	stir up trouble
荣幸	honored
记忆力	memory
盛产	produce in abundance
雕像	sculpture
贪污	corruption
拖延	delay
宪法	constitution
性感	sex appeal
炎热	blistering hot
厌恶	loathe
意料	anticipate
毅然	resolutely
终究	in the end
遵循	follow
白色	white
抱歉	sorry
包装	packaging
变成	become
老公	eunuch
播出	broadcast
尺子	ruler
刚才	just now
成交	complete a contract
传播	disseminate
度娘	Baidu
打雷	thunder
并列	juxtaposed
感激	grateful
航班	flight
规则	rule
开玩笑	joke
驾驶	pilot
京剧	Beijing opera
分解	resolve
距离	distance
公布	announce
沉着	steady
服从	obey
计算机	computer
家庭	family
精神	vigor
改善	improve
成心	intentionally
吐实	reveal
高档	high grade
国民	citizens
难道	could it be
纯粹	pure
加强	reinforce
老年	elderly
管道	pipeline
光辉	radiance
解开	untie
歹徒	evildoer
军人	serviceman
救援	support
看得起	respect
配备	provide
自黑	make fun of oneself
情感	feeling
想起	recall
热量	heat
转告	pass on
平台	platform
一路平安	pleasant journey
西装	suit
事故	accident
手里	in hand
事件	event
渠道	channel
却是	nevertheless
有意思	interesting
体检	physical examination
光芒	radiance
含糊	ambiguous
五颜六色	multicolored
算了	let it be
现有	currently existing
邮票	stamp
一律	uniformly
严肃	solemn
一口气	one breath
萌萌噠	cute
战胜	overcome
作品	work
招生	enroll
影迷	movie fan
正义	justice
制成	manufacture
开明	enlightened
苦涩	bitter
逃避	escape
手痒痒	eager
留念	souvenir
渺小	minute
帖子	card
好奇心	curiosity
难能可贵	valuable
歧视	discriminate
审美	esthetics
瞎扯	nonsense
代笔	ghostwrite
堕胎	abortion
上瘾	addicted
盛情	hospitality
首要	important
随即	immediately
索性	simply
探望	visit
未免	unavoidably
掩盖	conceal
一度	for a time
以致	to such an extent
忧郁	melancholy
预料	anticipate
郑重	serious
致力	devote
专长	specialty
宝石	gem
不对	incorrect
部分	part
便条	note
吃饭	eat
电梯	elevator
病情	illness state
妹妹	younger sister
爸爸	father
妈妈	mother
产品	product
导游	tour guide
测定	determine
名字	name
烦恼	worries
父亲	father
范围	range
道德	virtue
黄金	gold
草率	careless
多年	many years
多种	many kinds
防治	prevention and cure
畅销	sell well
分为	divide into
可是	but
可惜	unfortunately
军事	military
国内	domestic
分工	division of labor
终于	finally
等一会儿	wait a moment
母亲	mother
美术	fine arts
偶尔	occasionally
排列	arrange in order
皮下	under the skin
次品	substandard products
汇报	report
粗鲁	coarse
老朋友	old friend
火灾	serious fire
给予	give
熟练	skilled
利益	benefit
解鎖技能	acquire skill
多元化	diversification
苏州	Suzhou
内心	heart
学术	learning
听讲	attend lecture
理智	reason
责任	responsibility
西餐	Western food
民警	civil police
争取	strive for
认可	approve
天啦嚕	Zoikes
上衣	jacket
状况	condition
药片	pill
手套	glove
举重	lift weights
公证	notarization
飯拍	Fan-shot
生活费	living expenses
逃跑	flee
往后	in the future
往来	dealings
安利	recommend
旋转	rotate
种植	plant
占领	capture
惊奇	amazed
遭受	suffer
慷慨	generous
立法	legislate
美观	pleasing
着凉	catch cold
搞笑	funny
手腕	wrist
停顿	halt
停滞	stagnation
同志	comrade
信誉	reputation
遗失	lose
隐蔽	conceal
杂交	hybridize
暂且	temporarily
指望	hope
踪迹	tracks
白天	daytime
毕业	graduation
必须	must
厕所	toilet
成功	succeed
地铁	subway
不易	difficult
打车	take a taxi
地点	place
备忘录	memorandum
参赛	compete
电影院	cinema
大大	greatly
鄙视	despise
对话	talk
方面	aspect
对比	contrast
变故	misfortune
撤销	repeal
分手	break up
胳膊	arm
博大精深	profound
满意	satisfied
官宣	announcement
独立	independent
婚礼	wedding
骄傲	pride
耳机	headphones
同事	colleague
夺取	seize
考虑	consider
故乡	homeland
犯规	break the rules
飞船	spaceship
宫崎骏	director
上车	get on
哪怕	even
平时	ordinarily
期待	look forward to
记载	write down
请求	request
受不了	unbearable
靠近	close to
连续	continuous
惊喜	nice surprise
通常	usually
军队	armed forces
娘炮	effeminate
轮船	steamship
训练	train
意外	unexpected
风气	atmosphere
全面	comprehensive
西方	the West
民意	public opinion
感染	infect
爱惜	cherish
功劳	contribution
饮食	eating and drinking
特定	specific
首脑	head
首席	chief
喜爱	like
协议	agreement
傻白甜	sweet
行驶	travel
忌讳	taboo
引进	introduce
愉悦	joyful
小婊砸	little biyatch
正版	genuine
遭到	suffer
营造	build
忠心	loyalty
气压	atmospheric pressure
拆哪儿	joke
曲子	tune
容器	container
深奥	profound
俗语	proverb
束缚	to bind
素食	vegetarian
停泊	anchoring
娃娃菜	baby cabbage
推理	reasoning
无微不至	meticulous
悬挂	to suspend
踊跃	eager
诱惑	temptation
脂肪	fat
自卑	low self-esteem
爱人	spouse
大家	everyone
矮小	short
保持	maintain
例子	example
病人	patient
标题	title
播放	broadcast
出现	to appear
不至于	unlikely
星期	week
测量	measurement
不禁	can't help
东西	thing
读书	study
堵车	traffic jam
虫子	insect
机会	opportunity
香蕉	banana
出动	dispatch
大巴	large bus
出事	accident
储存	stockpile
不言而喻	self-evident
倒车	reverse
发音	pronounce
认为	believe
话题	topic
盗版	pirated
道教	Taoism
聚会	gathering
退散	retreat
划船	rowing
批评	criticize
慈祥	kindly
女士	lady
热闹	lively
亲切	amiable
和谐	harmonious
午饭	lunch
阶段	stage
混血儿	mixed-blood
考验	test
手术	surgery
扩展	extend
污染	pollute
日子	day
中学生	high school student
美食	gourmet
围绕	revolve around
军舰	warship
戏剧	drama
所以	therefore
方圆	perimeter
内部	interior
同样	same
暂时	temporary
培训	training
前往	leave for
楼道	corridor
情景	scene
身材	stature
上级	superiors
工艺品	handicraft
攻克	overcome
胜负	victory or defeat
管辖	administer
手续费	service charge
薯条	french fries
说实话	speak the truth
项目	project
延期	delay
修养	self-cultivation
夜间	nighttime
阴谋	conspire
展示	reveal
精通	proficient
支援	provide assistance
足以	sufficient
联欢	celebration
流氓	rogue
络绎不绝	continuously
弥补	complement
清除	eliminate
取缔	suppress
世代	generation
视野	outlook
威风	awe-inspiring
志气	ambition
重心	center of gravity
专程	specifically
搬家	move house
晚上	evening
吃惊	startled
表面上	outwardly
不必	need not
听不懂	unable to understand
手机	cell phone
此外	besides
奔波	rush about
地表最強	the strongest on the face of the earth
铅笔	pencil
带来	bring
重组	reorganize
礼物	gift
大陆	mainland
基础	base
继续	continue
减少	decrease
记忆	memory
颤抖	shiver
分享	share
发电	generate electricity
辅助	assist
尽量	as much as possible
果然	really
充当	serve as
理由	reason
面前	in front of
月饼	mooncake
使用	use
圣诞节	Christmas
接触	touch
尽力	strive
激情	passion
提供	offer
提醒	remind
手续	procedure
有的	some
节奏	rhythm
往往	usually
统一	unify
对策	countermeasure
推辞	decline
东南西北	all directions
万一	just in case
位于	be located at
迷人	fascinating
明明	obviously
想到	think of
杠杆	lever
门把	door knob
企图	attempt
食品	food
深处	abyss
同框	appear together
孤立	isolate
特殊	special
替代	substitute
这样	this way
打交道	come into contact
国务院	State Council
过失	error
耗费	spend
停留	stay temporarily
恭喜	congratulate
需求	requirement
婚姻	marriage
有利于	advantageous to
解剖	dissect
自主	independent
异常	unusual
支出	spend
据悉	according to reports
高调	high-sounding
诸位	everyone
况且	moreover
凌晨	wee hours
语气	tone
印度人	Indian
名次	position
殴打	beat up
任命	appoint
骚扰	disturb
嫂子	sister-in-law
条款	clause
妥协	compromise
妄想	delusion
宣誓	swear
摇滚	rock 'n' roll
报到	report for duty
班级	class
國漫	domestic comics
变动	change
必修	compulsory
不同	different
承担	undertake
常见	common
鸡蛋	egg
手表	wristwatch
问题	question
旅行	travel
充满	full
客人	visitor
讽刺	satirize
火车	train
机票	air ticket
电动车	electric vehicle
饺子	dumpling
歌声	singing voice
写作	write
各地	various regions
一样	same
愿意	willing
巩固	consolidate
划分	divide
火柴	match
大臣	chancellor
名称	name
下车	get off
日用品	daily use items
商品	commodity
姐妹	sisters
碰到	come across
双方	both sides
调整	adjust
救命	save life
兴奋	excited
明亮	bright
年度	year
分辨	distinguish
招聘	recruit
外地	other parts
午餐	lunch
赞成	approve
填坑	fill a pit
仍旧	still
拉拉	lesbian
抱大腿	cling
赛场	racetrack
归根到底	ultimately
过问	get involved
事后	in hindsight
试点	trial
调解	mediate
退货	return merchandise
公主病	self-entitlement
演唱	sing
激发	arouse
激励	encourage
公司法	corporations law
邮箱	mailbox
医学	medicine
寂寞	lonely
烟花	fireworks
眼看	look on
交涉	negotiate
笑点	jokes
精心	meticulous
援助	help
举足轻重	critical role
灵敏	sensitive
媒介	medium
魄力	courage
牵扯	involve
权威	authority
失踪	missing
野人	savage
手艺	craftsmanship
提议	proposal
统治	rule
违背	go against
油漆	oil paints
必要	essential
报道	report
保密	confidential
不管	regardless
必需	essential
参考	consultation
宾馆	hotel
车站	station
常识	common sense
变形	deformed
病房	ward
程序	procedures
东边	east
操纵	operate
大部分	majority
亚洲	Asia
会议	meeting
处于	be in
检查	inspection
表彰	honor
国外	abroad
短处	shortcoming
大都	metropolitan
单纯	simple
不堪	cannot bear
代价	price
登山	climb
打断	interrupt
访问	visit
倡议	suggest
付出	pay
扩大	expand
姥姥	grandmother
零钱	change
话剧	stage play
谦虚	modest
西边	west
救灾	disaster relief
外公	grandfather
铃声	ringtone
信心	confidence
最好	best
面貌	appearance
梦见	to dream
面试	interview
提到	to mention
移民	immigrate
祝贺	congratulate
评选	select
量词	classifier
歌颂	praise
神经	nerve
文明	civilized
即便	even if
亚军	runner-up
检讨	criticism
兴旺	prosperous
鉴于	in view of
将就	put up with
之前	before
拘留	detain
指责	criticize
后院	backyard
总裁	chairman
刻不容缓	urgent
连锁	chain
分担	share
清真	Islamic
全力以赴	make an all-out effort
衰老	age
万分	very much
无赖	rogue
壮丽	magnificent
走廊	corridor
白菜	Chinese cabbage
怎么样	how?
高级	high level
报警	sound an alarm
巴结	fawn on
爆炸	explosion
表情	expression
不断	continuous
看不懂	unable to understand
参展	to exhibit
称为	to be called
成果	achievement
常年	all year round
方式	way
坏了	shoot!
禁欲	self-restraint
大纲	synopsis
合作	cooperate
后背	the back
服装	clothing
坚持	persist
将来	future
改造	transform
相信	believe
需要	need
实习	internship
加工	process
裝逼犯	poseur
青年	youth
球队	sports team
思想	thought
随身	on one's person
困扰	perplex
早饭	breakfast
老实	honest
形势	circumstances
原因	cause
评估	evaluate
职业	occupation
慢车	local bus
责备	blame
自信	self-confidence
抚摸	caress
证件	certificate
排行榜	ranking
食堂	dining hall
似的	seems
泥石流	landslide
情绪	mood
固执	obstinate
盛行	popular
消费	consume
恍然大悟	suddenly realize
依靠	rely on
移动	move
一下子	all at once
协会	association
掰弯	bend
悲催	miserable
竭尽全力	spare no effort
涨价	appreciate
竞选	run for office
执行	implement
家家户户	every family
转换	switch
中外	Sino-foreign
零星	fragmentary
潜移默化	secretly influence
苏醒	awaken
托运	consign
习俗	custom
袭击	attack
严密	strict
眼色	signal
罢了	indicating
案件	case
彩虹屁	over-the-top praise
避免	avert
补课	make up
采购	procure
还是	still
动力	motive power
旅游	tourism
冲动	impulse
草莓	strawberry
经理	manager
感动	moving
共同	joint
大规模	large scale
公开	open
帽子	label
沟通	communicate
导致	lead to
记住	remember
发行	publish
选择	select
桔子	tangerine
来自	come from
出息	future prospects
计算	calculate
拼音	phonetic
申请	apply
经营	engage in
得不偿失	not worth it
雕塑	sculpture
全国	nationwide
无论	regardless
录音	record
土豆	potato
兑现	cash
现象	phenomenon
描写	describe
形容	describe
礼堂	auditorium
秒回	promptly
事先	in advance
游客	traveler
欲求不满	unsatisfied
水分	moisture
特有	specific
发愁	worry
吸收	absorb
为主	rely mainly on
慰问	express sympathy
通道	channel
无关	unrelated
协商	consultation
状态	condition
遭遇	encounter
装饰	decorate
资助	subsidize
只得	obliged
非洲	Africa
学历	educational background
游览	sightseeing
盲目	blindly
起伏	undulate
钦佩	admire
容貌	appearance
生锈	rust
贪婪	avaricious
统筹兼顾	overall plan
悬崖峭壁	sheer cliffs
掩饰	cover up
办公室	office
爆发	break out
饼干	biscuit
并且	furthermore
发生	occur
半途而废	give up halfway
称赞	praise
长期	long term
吵架	quarrel
放学	dismiss
出售	sell
促进	promote
濒临	on the edge of
打败	defeat
理论	theory
答复	reply
打动	move
好奇	curious
得了	possible
飞行	flight
欧洲	Europe
忽视	neglect
费用	expense
容易	easy
水平	level
早睡早起	early to bed, early to rise
嘉宾	guest
发布	release
结实	sturdy
公元	CE
口味	taste
礼貌	courtesy
光临	honor with presence
冒险	take risks
杠精	argumentative person
人才	talent
幻想	fantasize
镜头	camera shot
居然	unexpectedly
态度	attitude
连续剧	serialized drama
断定	conclude
模仿	imitate
引起	give rise to
宴会	banquet
排除	eliminate
锋利	sharp
心中	in one's thoughts
纲领	program
起诉	sue
实行	implement
强盗	robber
属于	belong to
贯彻	implement
自驾游	self-drive tour
睡眠	sleep
细致	delicate
克制	restrain
伸懒腰	stretch oneself
倾斜	incline
若干	a certain number
投机	speculate
酗酒	drunk
序言	preface
言论	opinion
卓越	outstanding
本科	undergraduate
北边	north
担心	worried
出院	discharge
公园	park
跑步	run
大人	adult
弊病	drawback
遍布	cover
得出	obtain
标记	sign
知道	know
可以	can
不可思议	inconceivable
对方	the other
年级	grade
防止	prevent
生气	angry
递给	hand
怀孕	pregnant
观点	viewpoint
动手	start
缠绕	twisting
节省	saving
南边	south
今后	future
举手	raise hand
速度	speed
简历	resume
收入	income
碰见	meet
家电	appliance
特色	characteristic
类型	type
小伙子	young man
毛病	fault
捐赠	donate
捐助	donate
康复	recuperate
享受	enjoy
于是	thereupon
前进	forward
平均	average
晚餐	dinner
设备	equipment
配置	deploy
药水	medicine
骨干	backbone
视为	view as
早晨	early morning
透明	transparent
迷弟	fanatic
走开	leave
四处	all over
通讯	communications
鼓舞	boost
活该	deservedly
意识	consciousness
治疗	treat
戒备	precautions
最佳	optimal
埋伏	ambush
抛弃	abandon
起哄	heckle
趣味	interest
闪烁	flickering
上任	take office
疏忽	neglect
爽快	frank
武装	arms
销毁	destroy
运算	calculation
制裁	punish
北京	Beijing
博士	doctor
背后	behind
本期	current period
部门	department
笔试	written examination
不利	unfavorable
放心	reassured
电影	movie
得意	proud
拆除	demolish
大门	entrance
边疆	borderland
乘车	ride
超出	exceed
等到	wait until
表态	declare position
公交车	public transport
及时	timely
段落	paragraph
风度	elegance
夫妇	married couple
负担	burden
恐怕	fear
照片	photograph
出卖	sell out
敢于	dare to
等等	etc
目的	purpose
书包	schoolbag
仅仅	barely
中秋节	Mid-Autumn Festival
会见	meet with
商务	commerce
双关语	pun
精品	quality goods
稳定	stable
破产	bankrupt
企业	enterprise
前景	prospects
嚇尿	spooked+pee
附和	agree
赋予	assign
受灾	disaster-stricken
这么	so much
显示	to show
不舒服	unwell
何况	let alone
及早	at the earliest
早已	long since
心愿	cherished desire
因而	therefore
智能	intelligent
精打细算	meticulous planning
经纬	warp and woof
之中	inside
自言自语	talk to oneself
力求	strive
冒充	feign
全球变暖	global warming
南辕北辙	defeat one's purpose
编剧	write a play
宣扬	publicize
周密	thorough
安排	arrange
安宁	peaceful
报纸	newspaper
本领	skill
拜年	pay a New Year call
颁布	issue
不久	not long
操场	playground
错误	mistaken
打招呼	greet
不止	incessantly
出示	show
拆迁	demolish
开始	begin
发展	development
发言	make a speech
打听	ask about
练习	practice
怀念	cherish the memory
活跃	active
发觉	realize
定时	timed
各位	everybody
福利	welfare
吹捧	flatter
实用	practical
千万	countless
回头	later
机遇	opportunity
破坏	destruction
近期	recent
燃烧	burn
顺便	conveniently
寿命	life span
东张西望	look around
解说	explain
老家	native place
嗯嗯	interj.
少年	youth
维修	maintenance
印象	impression
糟糕	terrible
名义	nominal
能否	whether
上面	on top
萌炸	cute+explode
休假	vacation
高涨	rise
跟踪	follow
强势	strong
势力	influence
碧池	bitch
涉及	involve
外交	diplomacy
遗产	heritage
信仰	believe
预备	prepare
原始	primitive
一路上	along the way
主席	chairperson
中药	traditional medicine
主办	organize
恐怖	terror
作废	invalid
事迹	achievement
瘫痪	paralysis
提拔	promote
推论	infer
威信	prestige
狭隘	narrow
有条不紊	methodical
与日俱增	increase steadily
安装	install
拔苗助长	spoil things
本质	essence
茶叶	tea
部队	army
查看	look over
度过	pass
高兴	happy
承诺	promise
经过	pass
感觉	feeling
筷子	chopsticks
改进	improve
高中	pass brilliantly
打造	create
太阳	sun
调研	investigate
沉思	ponder
改革	reform
男生	schoolboy
讲话	speech
分裂	split up
照相机	camera
内容	content
平方	square
即将	about to
伤心	grieve
当事人	involved
当务之急	top priority
花费	expense
农历	lunar calendar
舍不得	hate to part with
时代	era
居住	reside
损失	loss
总结	sum up
实现	achieve
轮子	wheel
膝盖	knee
留言	leave a message
色彩	coloring
生产	produce
自由	freedom
鸽子	pigeon
称呼	call
融入	blend into
上当	be fooled
只能	can only
师父	master
迷妹	fanatic
躲藏	conceal oneself
呼吁	call on
提交	submit
通行	go through
业务	business
艰巨	arduous
监视	monitor
心灵	spirit
注视	look attentively
过日子	live one's life
带头	take the lead
宽容	lenient
历来	always
谅解	understand
要不	otherwise
宁肯	would rather
生疏	unfamiliar
安身立命	settle down
推测	speculation
无耻	shameless
意向	intention
源泉	fountainhead
蕴藏	contain
展望	outlook
资深	veteran
班长	class monitor
暴露	expose
暴雨	torrential rain
技術宅	geek
波动	fluctuate
成立	establish
打开	open
报复	retaliate
充分	ample
结束	termination
观众	spectators
大胆	bold
激动	excite
积累	accumulate
及格	pass
端午节	Dragon Boat Festival
嘲笑	ridicule
结合	combine
看法	opinion
交朋友	make friends
咖位	celebrity status
快要	nearly
从容	unhurried
实际	reality
摄影	photography
试卷	examination paper
特点	characteristic
袜子	socks
预约	booking
退休	retire
开夜车	burn the midnight oil
迷信	superstition
养成	cultivate
太太	married woman
录音机	recording machine
封建	feudal
问路	ask for directions
感慨	sigh with sorrow
行动	operation
总理	premier
杀毒	disinfect
实际上	in fact
帅哥	handsome guy
勾结	collude
水产品	aquatic products
意义	significance
审查	examine
孔雀女	spoiled city girl
偷偷	stealthily
送行	see someone off
下降	decline
形式	outer appearance
尖锐	sharp
只是	merely
解雇	fire
主管	in charge
障碍	obstruction
整顿	tidy up
纪录片	documentary
蒙古族	Mongol ethnic group
气魄	spirit
土豪	local tyrant
俏皮	smart
生机	vigor
识别	distinguish
一举两得	two gains
鞭炮	firecrackers
辩论	debate
不然	otherwise
时间	time
不便	inconvenient
根据	according to
